,V1,V2,V3,V4
110,chromacqt.max.01,0.888642977,1,LibROSA
111,chromacqt.max.02,0.932378211,1,LibROSA
113,chromacqt.max.04,0.430483745,1,LibROSA
114,chromacqt.max.05,0.818062138,1,LibROSA
115,chromacqt.max.06,0.945066938,1,LibROSA
117,chromacqt.max.08,0.269040378,1,LibROSA
118,chromacqt.max.09,0.037327,1,LibROSA
119,chromacqt.max.10,0.099087707,1,LibROSA
120,chromacqt.max.11,0.93090891,1,LibROSA
121,chromacqt.max.12,0.915993714,1,LibROSA
146,chromacqt.min.01,0.071938684,1,LibROSA
149,chromacqt.min.04,0.988469069,1,LibROSA
150,chromacqt.min.05,0.189013298,1,LibROSA
154,chromacqt.min.09,0.536801424,1,LibROSA
160,chromacqt.skew.03,0.006660663,1,LibROSA
182,chromastft.kurtosis.01,0.412051759,1,LibROSA
186,chromastft.kurtosis.05,0.973340923,1,LibROSA
190,chromastft.kurtosis.09,0.668603107,1,LibROSA
